case_text,judgment,tags
Case about contract breach involving Company B.,Not Guilty,contract breach
Case about shareholder conflict involving Company A.,Not Guilty,employment dispute
Case about shareholder conflict involving Company A.,Guilty,compliance
Case about regulatory compliance issue involving Company D.,Guilty,contract breach
Case about employment dispute involving Company C.,Not Guilty,intellectual property
Case about tax evasion involving Company D.,Not Guilty,shareholder issues
Case about shareholder conflict involving Company D.,Guilty,tax
Case about tax evasion involving Company B.,Not Guilty,tax
Case about contract breach involving Company A.,Not Guilty,tax
Case about regulatory compliance issue involving Company B.,Not Guilty,employment dispute
Case about employment dispute involving Company C.,Not Guilty,employment dispute
Case about contract breach involving Company A.,Guilty,contract breach
Case about employment dispute involving Company C.,Not Guilty,contract breach
Case about contract breach involving Company D.,Not Guilty,shareholder issues
Case about intellectual property theft involving Company C.,Guilty,compliance
Case about tax evasion involving Company B.,Guilty,compliance
Case about regulatory compliance issue involving Company B.,Guilty,compliance
Case about shareholder conflict involving Company C.,Not Guilty,compliance
Case about tax evasion involving Company A.,Not Guilty,contract breach
Case about intellectual property theft involving Company D.,Not Guilty,employment dispute
Case about employment dispute involving Company A.,Not Guilty,intellectual property
Case about intellectual property theft involving Company D.,Not Guilty,intellectual property
Case about shareholder conflict involving Company C.,Guilty,intellectual property
Case about intellectual property theft involving Company D.,Not Guilty,compliance
Case about regulatory compliance issue involving Company B.,Not Guilty,contract breach
Case about intellectual property theft involving Company B.,Not Guilty,employment dispute
Case about intellectual property theft involving Company A.,Not Guilty,tax
Case about contract breach involving Company A.,Guilty,intellectual property
Case about shareholder conflict involving Company C.,Not Guilty,shareholder issues
Case about shareholder conflict involving Company B.,Guilty,compliance
Case about tax evasion involving Company C.,Guilty,employment dispute
Case about regulatory compliance issue involving Company B.,Not Guilty,tax
Case about employment dispute involving Company C.,Not Guilty,shareholder issues
Case about shareholder conflict involving Company A.,Not Guilty,shareholder issues
Case about intellectual property theft involving Company B.,Not Guilty,shareholder issues
Case about tax evasion involving Company B.,Not Guilty,tax
Case about intellectual property theft involving Company C.,Not Guilty,employment dispute
Case about shareholder conflict involving Company A.,Not Guilty,compliance
Case about employment dispute involving Company A.,Guilty,employment dispute
Case about contract breach involving Company D.,Guilty,shareholder issues
Case about tax evasion involving Company A.,Guilty,compliance
Case about shareholder conflict involving Company C.,Guilty,employment dispute
Case about tax evasion involving Company A.,Not Guilty,shareholder issues
Case about tax evasion involving Company A.,Guilty,employment dispute
Case about shareholder conflict involving Company D.,Not Guilty,employment dispute
Case about contract breach involving Company C.,Guilty,compliance
Case about contract breach involving Company D.,Guilty,intellectual property
Case about tax evasion involving Company B.,Not Guilty,compliance
Case about contract breach involving Company D.,Guilty,contract breach
Case about contract breach involving Company A.,Not Guilty,tax
Case about employment dispute involving Company D.,Not Guilty,shareholder issues
Case about contract breach involving Company D.,Not Guilty,shareholder issues
Case about contract breach involving Company B.,Guilty,intellectual property
Case about contract breach involving Company C.,Not Guilty,tax
Case about contract breach involving Company B.,Not Guilty,contract breach
Case about shareholder conflict involving Company B.,Not Guilty,intellectual property
Case about tax evasion involving Company A.,Not Guilty,tax
Case about regulatory compliance issue involving Company B.,Guilty,contract breach
Case about contract breach involving Company A.,Guilty,compliance
Case about regulatory compliance issue involving Company C.,Guilty,compliance
Case about contract breach involving Company D.,Guilty,employment dispute
Case about employment dispute involving Company A.,Not Guilty,shareholder issues
Case about employment dispute involving Company B.,Guilty,compliance
Case about employment dispute involving Company A.,Not Guilty,contract breach
Case about contract breach involving Company D.,Guilty,intellectual property
Case about regulatory compliance issue involving Company C.,Not Guilty,shareholder issues
Case about contract breach involving Company D.,Guilty,contract breach
Case about intellectual property theft involving Company D.,Not Guilty,employment dispute
Case about contract breach involving Company D.,Not Guilty,compliance
Case about shareholder conflict involving Company A.,Guilty,shareholder issues
Case about regulatory compliance issue involving Company A.,Not Guilty,employment dispute
Case about shareholder conflict involving Company D.,Not Guilty,tax
Case about tax evasion involving Company A.,Not Guilty,tax
Case about tax evasion involving Company A.,Not Guilty,compliance
Case about intellectual property theft involving Company A.,Guilty,tax
Case about tax evasion involving Company A.,Not Guilty,intellectual property
Case about employment dispute involving Company D.,Not Guilty,contract breach
Case about contract breach involving Company B.,Guilty,contract breach
Case about employment dispute involving Company D.,Guilty,tax
Case about regulatory compliance issue involving Company B.,Not Guilty,tax
Case about employment dispute involving Company B.,Not Guilty,employment dispute
Case about contract breach involving Company D.,Guilty,compliance
Case about contract breach involving Company D.,Guilty,shareholder issues
Case about shareholder conflict involving Company B.,Not Guilty,compliance
Case about tax evasion involving Company D.,Not Guilty,intellectual property
Case about tax evasion involving Company D.,Not Guilty,intellectual property
Case about contract breach involving Company B.,Not Guilty,shareholder issues
Case about regulatory compliance issue involving Company B.,Not Guilty,intellectual property
Case about shareholder conflict involving Company C.,Not Guilty,intellectual property
Case about intellectual property theft involving Company D.,Guilty,tax
Case about employment dispute involving Company A.,Not Guilty,intellectual property
Case about shareholder conflict involving Company D.,Not Guilty,contract breach
Case about regulatory compliance issue involving Company D.,Not Guilty,intellectual property
Case about regulatory compliance issue involving Company B.,Guilty,tax
Case about contract breach involving Company C.,Not Guilty,compliance
Case about regulatory compliance issue involving Company B.,Guilty,intellectual property
Case about contract breach involving Company A.,Not Guilty,shareholder issues
Case about regulatory compliance issue involving Company C.,Guilty,contract breach
Case about contract breach involving Company C.,Not Guilty,employment dispute
Case about intellectual property theft involving Company C.,Not Guilty,employment dispute
Case about employment dispute involving Company B.,Not Guilty,shareholder issues
Case about contract breach involving Company B.,Guilty,shareholder issues
Case about shareholder conflict involving Company B.,Guilty,tax
Case about regulatory compliance issue involving Company B.,Not Guilty,employment dispute
Case about shareholder conflict involving Company D.,Guilty,shareholder issues
Case about contract breach involving Company B.,Guilty,shareholder issues
Case about tax evasion involving Company B.,Not Guilty,compliance
Case about employment dispute involving Company D.,Guilty,compliance
Case about shareholder conflict involving Company C.,Not Guilty,contract breach
Case about shareholder conflict involving Company A.,Not Guilty,shareholder issues
Case about employment dispute involving Company C.,Guilty,shareholder issues
Case about contract breach involving Company B.,Not Guilty,employment dispute
Case about regulatory compliance issue involving Company D.,Not Guilty,employment dispute
Case about shareholder conflict involving Company A.,Not Guilty,shareholder issues
Case about regulatory compliance issue involving Company B.,Not Guilty,shareholder issues
Case about intellectual property theft involving Company A.,Not Guilty,tax
Case about contract breach involving Company A.,Not Guilty,shareholder issues
Case about intellectual property theft involving Company A.,Not Guilty,intellectual property
Case about regulatory compliance issue involving Company D.,Guilty,tax
Case about regulatory compliance issue involving Company C.,Not Guilty,tax
Case about employment dispute involving Company B.,Not Guilty,intellectual property
Case about employment dispute involving Company C.,Not Guilty,shareholder issues
Case about contract breach involving Company A.,Not Guilty,shareholder issues
Case about regulatory compliance issue involving Company C.,Guilty,tax
Case about tax evasion involving Company C.,Not Guilty,shareholder issues
Case about intellectual property theft involving Company A.,Not Guilty,tax
Case about tax evasion involving Company B.,Guilty,shareholder issues
Case about regulatory compliance issue involving Company C.,Guilty,tax
Case about regulatory compliance issue involving Company B.,Not Guilty,shareholder issues
Case about employment dispute involving Company A.,Guilty,intellectual property
Case about contract breach involving Company B.,Guilty,intellectual property
Case about contract breach involving Company C.,Not Guilty,intellectual property
Case about shareholder conflict involving Company A.,Not Guilty,employment dispute
Case about tax evasion involving Company B.,Not Guilty,shareholder issues
Case about regulatory compliance issue involving Company D.,Not Guilty,contract breach
Case about tax evasion involving Company C.,Not Guilty,shareholder issues
Case about tax evasion involving Company C.,Not Guilty,tax
Case about employment dispute involving Company D.,Not Guilty,shareholder issues
Case about shareholder conflict involving Company B.,Not Guilty,shareholder issues
Case about shareholder conflict involving Company C.,Guilty,compliance
Case about contract breach involving Company D.,Guilty,shareholder issues
Case about shareholder conflict involving Company B.,Guilty,contract breach
Case about tax evasion involving Company C.,Guilty,intellectual property
Case about regulatory compliance issue involving Company B.,Guilty,contract breach
Case about intellectual property theft involving Company D.,Guilty,compliance
Case about regulatory compliance issue involving Company B.,Not Guilty,contract breach
Case about employment dispute involving Company D.,Guilty,employment dispute
Case about tax evasion involving Company B.,Guilty,shareholder issues
Case about regulatory compliance issue involving Company B.,Guilty,intellectual property
Case about contract breach involving Company A.,Not Guilty,tax
Case about tax evasion involving Company A.,Guilty,compliance
Case about intellectual property theft involving Company A.,Not Guilty,intellectual property
Case about contract breach involving Company B.,Not Guilty,intellectual property
Case about intellectual property theft involving Company D.,Guilty,compliance
Case about intellectual property theft involving Company A.,Guilty,employment dispute
Case about intellectual property theft involving Company A.,Guilty,tax
Case about regulatory compliance issue involving Company B.,Guilty,employment dispute
Case about tax evasion involving Company D.,Not Guilty,employment dispute
Case about tax evasion involving Company D.,Guilty,tax
Case about regulatory compliance issue involving Company B.,Not Guilty,employment dispute
Case about employment dispute involving Company A.,Guilty,tax
Case about regulatory compliance issue involving Company A.,Guilty,employment dispute
Case about intellectual property theft involving Company C.,Guilty,contract breach
Case about employment dispute involving Company A.,Guilty,tax
Case about shareholder conflict involving Company A.,Guilty,tax
Case about shareholder conflict involving Company B.,Not Guilty,intellectual property
Case about contract breach involving Company B.,Guilty,compliance
Case about contract breach involving Company B.,Guilty,tax
Case about tax evasion involving Company C.,Guilty,shareholder issues
Case about intellectual property theft involving Company A.,Not Guilty,contract breach
Case about tax evasion involving Company B.,Guilty,compliance
Case about tax evasion involving Company C.,Guilty,intellectual property
Case about tax evasion involving Company C.,Not Guilty,contract breach
Case about contract breach involving Company A.,Guilty,compliance
Case about regulatory compliance issue involving Company D.,Not Guilty,tax
Case about regulatory compliance issue involving Company D.,Guilty,shareholder issues
Case about shareholder conflict involving Company C.,Not Guilty,shareholder issues
Case about contract breach involving Company A.,Guilty,employment dispute
Case about tax evasion involving Company D.,Guilty,shareholder issues
Case about employment dispute involving Company D.,Guilty,intellectual property
Case about tax evasion involving Company D.,Guilty,shareholder issues
Case about tax evasion involving Company D.,Guilty,contract breach
Case about contract breach involving Company C.,Not Guilty,intellectual property
Case about employment dispute involving Company C.,Guilty,intellectual property
Case about regulatory compliance issue involving Company A.,Not Guilty,employment dispute
Case about employment dispute involving Company B.,Guilty,contract breach
Case about shareholder conflict involving Company B.,Not Guilty,shareholder issues
Case about regulatory compliance issue involving Company D.,Not Guilty,contract breach
Case about tax evasion involving Company C.,Guilty,intellectual property
Case about regulatory compliance issue involving Company C.,Not Guilty,tax
Case about employment dispute involving Company C.,Not Guilty,intellectual property
Case about intellectual property theft involving Company D.,Not Guilty,employment dispute
Case about employment dispute involving Company B.,Guilty,shareholder issues
Case about regulatory compliance issue involving Company C.,Not Guilty,intellectual property
Case about shareholder conflict involving Company D.,Not Guilty,compliance
Case about tax evasion involving Company A.,Guilty,contract breach
Case about regulatory compliance issue involving Company C.,Not Guilty,contract breach
Case about tax evasion involving Company B.,Guilty,tax
Case about employment dispute involving Company B.,Not Guilty,intellectual property
Case about regulatory compliance issue involving Company D.,Guilty,employment dispute
Case about intellectual property theft involving Company B.,Not Guilty,contract breach
Case about tax evasion involving Company A.,Guilty,intellectual property
Case about employment dispute involving Company A.,Not Guilty,tax
Case about employment dispute involving Company D.,Not Guilty,compliance
Case about contract breach involving Company C.,Guilty,contract breach
Case about regulatory compliance issue involving Company B.,Not Guilty,tax
Case about contract breach involving Company B.,Not Guilty,intellectual property
Case about employment dispute involving Company B.,Guilty,shareholder issues
Case about intellectual property theft involving Company C.,Not Guilty,employment dispute
Case about regulatory compliance issue involving Company B.,Guilty,compliance
Case about contract breach involving Company A.,Guilty,tax
Case about tax evasion involving Company B.,Guilty,compliance
Case about contract breach involving Company B.,Not Guilty,intellectual property
Case about contract breach involving Company B.,Guilty,intellectual property
Case about tax evasion involving Company C.,Guilty,tax
Case about employment dispute involving Company A.,Guilty,employment dispute
Case about intellectual property theft involving Company B.,Not Guilty,shareholder issues
Case about contract breach involving Company A.,Guilty,shareholder issues
Case about tax evasion involving Company C.,Not Guilty,contract breach
Case about employment dispute involving Company D.,Not Guilty,shareholder issues
Case about employment dispute involving Company C.,Not Guilty,intellectual property
Case about employment dispute involving Company B.,Guilty,compliance
Case about contract breach involving Company A.,Guilty,intellectual property
Case about contract breach involving Company A.,Guilty,contract breach
Case about intellectual property theft involving Company B.,Guilty,shareholder issues
Case about regulatory compliance issue involving Company C.,Not Guilty,employment dispute
Case about tax evasion involving Company A.,Guilty,compliance
Case about intellectual property theft involving Company D.,Guilty,tax
Case about tax evasion involving Company A.,Not Guilty,compliance
Case about contract breach involving Company D.,Not Guilty,compliance
Case about tax evasion involving Company D.,Guilty,contract breach
Case about tax evasion involving Company C.,Guilty,shareholder issues
Case about intellectual property theft involving Company A.,Guilty,shareholder issues
Case about contract breach involving Company D.,Guilty,contract breach
Case about employment dispute involving Company A.,Not Guilty,employment dispute
Case about tax evasion involving Company A.,Guilty,compliance
Case about tax evasion involving Company D.,Guilty,employment dispute
Case about contract breach involving Company A.,Not Guilty,tax
Case about employment dispute involving Company A.,Not Guilty,contract breach
Case about intellectual property theft involving Company B.,Not Guilty,compliance
Case about intellectual property theft involving Company D.,Guilty,tax
Case about employment dispute involving Company B.,Guilty,employment dispute
Case about intellectual property theft involving Company B.,Not Guilty,compliance
Case about regulatory compliance issue involving Company C.,Not Guilty,compliance
Case about contract breach involving Company A.,Guilty,tax
Case about contract breach involving Company C.,Guilty,contract breach
Case about shareholder conflict involving Company D.,Not Guilty,compliance
Case about employment dispute involving Company B.,Guilty,intellectual property
Case about shareholder conflict involving Company D.,Not Guilty,intellectual property
Case about shareholder conflict involving Company C.,Guilty,employment dispute
Case about contract breach involving Company A.,Not Guilty,employment dispute
Case about tax evasion involving Company B.,Not Guilty,intellectual property
Case about regulatory compliance issue involving Company D.,Guilty,contract breach
Case about tax evasion involving Company D.,Not Guilty,employment dispute
Case about tax evasion involving Company A.,Guilty,employment dispute
Case about shareholder conflict involving Company A.,Not Guilty,shareholder issues
Case about tax evasion involving Company D.,Guilty,employment dispute
Case about employment dispute involving Company D.,Not Guilty,employment dispute
Case about intellectual property theft involving Company C.,Guilty,employment dispute
Case about contract breach involving Company D.,Guilty,shareholder issues
Case about employment dispute involving Company A.,Guilty,shareholder issues
Case about intellectual property theft involving Company B.,Not Guilty,compliance
Case about intellectual property theft involving Company D.,Guilty,contract breach
Case about intellectual property theft involving Company B.,Not Guilty,shareholder issues
Case about employment dispute involving Company B.,Guilty,employment dispute
Case about intellectual property theft involving Company B.,Guilty,employment dispute
Case about regulatory compliance issue involving Company D.,Not Guilty,compliance
Case about contract breach involving Company B.,Guilty,compliance
Case about employment dispute involving Company A.,Not Guilty,employment dispute
Case about tax evasion involving Company C.,Guilty,tax
Case about tax evasion involving Company B.,Guilty,tax
Case about employment dispute involving Company B.,Guilty,intellectual property
Case about contract breach involving Company C.,Not Guilty,contract breach
Case about shareholder conflict involving Company B.,Guilty,intellectual property
Case about regulatory compliance issue involving Company D.,Guilty,compliance
Case about employment dispute involving Company B.,Not Guilty,employment dispute
Case about intellectual property theft involving Company C.,Not Guilty,intellectual property
Case about contract breach involving Company C.,Guilty,intellectual property
Case about shareholder conflict involving Company A.,Not Guilty,employment dispute
Case about shareholder conflict involving Company B.,Guilty,intellectual property
Case about shareholder conflict involving Company A.,Guilty,contract breach
Case about intellectual property theft involving Company C.,Not Guilty,contract breach
Case about regulatory compliance issue involving Company D.,Not Guilty,intellectual property
Case about intellectual property theft involving Company B.,Not Guilty,shareholder issues
Case about employment dispute involving Company D.,Not Guilty,tax
Case about regulatory compliance issue involving Company C.,Not Guilty,compliance
Case about tax evasion involving Company A.,Not Guilty,contract breach
Case about tax evasion involving Company C.,Not Guilty,tax
Case about regulatory compliance issue involving Company B.,Guilty,tax
Case about tax evasion involving Company A.,Not Guilty,shareholder issues
Case about employment dispute involving Company B.,Guilty,employment dispute
Case about employment dispute involving Company B.,Guilty,intellectual property
Case about employment dispute involving Company A.,Not Guilty,employment dispute
Case about employment dispute involving Company A.,Not Guilty,compliance
Case about employment dispute involving Company B.,Not Guilty,tax
Case about employment dispute involving Company B.,Not Guilty,compliance
Case about contract breach involving Company D.,Guilty,compliance
Case about shareholder conflict involving Company B.,Guilty,intellectual property
Case about shareholder conflict involving Company D.,Not Guilty,compliance
Case about employment dispute involving Company C.,Not Guilty,compliance
Case about tax evasion involving Company C.,Not Guilty,tax
Case about shareholder conflict involving Company A.,Guilty,shareholder issues
Case about shareholder conflict involving Company A.,Not Guilty,tax
Case about tax evasion involving Company C.,Not Guilty,contract breach
Case about tax evasion involving Company B.,Guilty,compliance
Case about regulatory compliance issue involving Company D.,Not Guilty,tax
Case about intellectual property theft involving Company A.,Not Guilty,employment dispute
Case about tax evasion involving Company B.,Guilty,shareholder issues
Case about tax evasion involving Company D.,Not Guilty,contract breach
Case about shareholder conflict involving Company D.,Not Guilty,contract breach
Case about contract breach involving Company D.,Not Guilty,shareholder issues
Case about regulatory compliance issue involving Company A.,Guilty,compliance
Case about contract breach involving Company A.,Guilty,intellectual property
Case about employment dispute involving Company C.,Not Guilty,tax
Case about shareholder conflict involving Company C.,Guilty,employment dispute
Case about tax evasion involving Company A.,Guilty,shareholder issues
Case about employment dispute involving Company B.,Guilty,compliance
Case about regulatory compliance issue involving Company B.,Not Guilty,compliance
Case about employment dispute involving Company C.,Not Guilty,intellectual property
Case about employment dispute involving Company C.,Not Guilty,tax
Case about shareholder conflict involving Company C.,Not Guilty,intellectual property
Case about shareholder conflict involving Company B.,Not Guilty,contract breach
Case about contract breach involving Company B.,Guilty,compliance
Case about contract breach involving Company C.,Guilty,contract breach
Case about shareholder conflict involving Company B.,Guilty,tax
Case about employment dispute involving Company D.,Guilty,shareholder issues
Case about employment dispute involving Company B.,Not Guilty,intellectual property
Case about regulatory compliance issue involving Company D.,Not Guilty,compliance
Case about regulatory compliance issue involving Company D.,Guilty,contract breach
Case about employment dispute involving Company D.,Guilty,contract breach
Case about regulatory compliance issue involving Company A.,Guilty,intellectual property
Case about tax evasion involving Company C.,Not Guilty,compliance
Case about contract breach involving Company D.,Not Guilty,tax
Case about intellectual property theft involving Company D.,Not Guilty,shareholder issues
Case about contract breach involving Company D.,Guilty,shareholder issues
Case about shareholder conflict involving Company D.,Not Guilty,shareholder issues
Case about contract breach involving Company D.,Not Guilty,compliance
Case about shareholder conflict involving Company D.,Guilty,intellectual property
Case about contract breach involving Company D.,Not Guilty,shareholder issues
Case about employment dispute involving Company D.,Not Guilty,tax
Case about shareholder conflict involving Company A.,Guilty,tax
Case about shareholder conflict involving Company B.,Guilty,intellectual property
Case about contract breach involving Company B.,Not Guilty,compliance
Case about intellectual property theft involving Company B.,Guilty,shareholder issues
Case about tax evasion involving Company D.,Not Guilty,compliance
Case about employment dispute involving Company B.,Guilty,employment dispute
Case about shareholder conflict involving Company D.,Guilty,tax
Case about contract breach involving Company D.,Guilty,employment dispute
Case about employment dispute involving Company A.,Not Guilty,intellectual property
Case about tax evasion involving Company B.,Guilty,compliance
Case about intellectual property theft involving Company B.,Guilty,tax
Case about employment dispute involving Company D.,Not Guilty,compliance
Case about regulatory compliance issue involving Company B.,Not Guilty,employment dispute
Case about shareholder conflict involving Company C.,Not Guilty,shareholder issues
Case about intellectual property theft involving Company A.,Guilty,compliance
Case about regulatory compliance issue involving Company C.,Not Guilty,employment dispute
Case about shareholder conflict involving Company A.,Guilty,shareholder issues
Case about shareholder conflict involving Company B.,Not Guilty,intellectual property
Case about shareholder conflict involving Company D.,Guilty,shareholder issues
Case about regulatory compliance issue involving Company D.,Guilty,contract breach
Case about tax evasion involving Company B.,Not Guilty,tax
Case about contract breach involving Company D.,Not Guilty,shareholder issues
Case about intellectual property theft involving Company C.,Not Guilty,intellectual property
Case about tax evasion involving Company C.,Guilty,shareholder issues
Case about contract breach involving Company C.,Not Guilty,tax
Case about regulatory compliance issue involving Company C.,Not Guilty,employment dispute
Case about tax evasion involving Company A.,Guilty,intellectual property
Case about intellectual property theft involving Company B.,Not Guilty,contract breach
Case about intellectual property theft involving Company A.,Guilty,employment dispute
Case about regulatory compliance issue involving Company A.,Guilty,compliance
Case about shareholder conflict involving Company D.,Not Guilty,shareholder issues
Case about tax evasion involving Company D.,Not Guilty,employment dispute
Case about shareholder conflict involving Company C.,Not Guilty,contract breach
Case about employment dispute involving Company D.,Guilty,employment dispute
Case about intellectual property theft involving Company C.,Guilty,contract breach
Case about tax evasion involving Company B.,Guilty,intellectual property
Case about contract breach involving Company B.,Guilty,compliance
Case about contract breach involving Company C.,Not Guilty,employment dispute
Case about tax evasion involving Company B.,Not Guilty,tax
Case about tax evasion involving Company D.,Not Guilty,tax
Case about tax evasion involving Company C.,Not Guilty,employment dispute
Case about intellectual property theft involving Company C.,Not Guilty,employment dispute
